investor_firm,source_portfolio_url,portfolio_company,portfolio_company_website,industry,niche,business_model,customer_type,geography,recurring_revenue_signal,service_criticality_signal,fragmentation_signal,acquisition_search_context,gb_relevance,follow_up_research_needed,source_confidence,curation_status
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Message Digital,https://www.messagedigital.com,B2B services,Digital communications for social impact organizations agencies and campaigns,Communications services/platform,Nonprofits agencies campaigns,Unknown,Likely campaign/organization communications repeat usage; verify contract model,Communications to stakeholders can be operationally important; verify urgency and switching costs,Unknown,Pacific Lake long-term hold; active; 2026 investment,B2B services with potential recurring communications demand; less obviously mission-critical than compliance/infrastructure,"Check company site for revenue model, customer retention, vertical focus, and contract structure",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Heartwood Family,https://heartwoodfamily.ca,Education,Childcare center operator and acquirer,Multi-site childcare services,Families,Canada and North America,Tuition likely recurring but consumer-facing; verify enrollment retention,Childcare is essential for customers but operationally consumer/local-service heavy,Possible local childcare fragmentation; verify market roll-up dynamics,Pacific Lake long-term hold; active; 2026 investment,"Useful pattern for multi-location essential services, but consumer exposure and regulatory complexity may be outside G&B core","Verify EBITDA scale, center economics, retention, labor intensity, and regulatory burden",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,CoFi,https://www.cofimd.com,Financial services,Premium elective medical procedure payments,Multi-party payment platform,Medical providers and patients,Unknown,Payment platform suggests recurring transaction revenue; verify,Payment workflow can be embedded in provider operations; elective exposure is a concern,Unknown,Pacific Lake long-term hold; active; 2026 investment,Healthcare-adjacent fintech pattern; potentially attractive if provider-paid recurring platform economics exist,"Clarify payer, take rate, provider retention, procedure categories, and compliance risk",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Merit Holdings,https://www.meritholdings.com,HoldCo,Niche vertical software acquisition and operation,Software holding company,Vertical software businesses,Unknown,Software portfolio implies recurring revenue at acquired companies,Vertical software can be mission-critical depending on workflow depth,Niche vertical software markets can be fragmented,Pacific Lake long-term hold; active; 2026 investment,Strong meta-pattern: niche vertical software acquisition vehicle; informs industry pattern but not a direct operating niche,Map underlying software verticals and acquisition criteria,High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,A Personal Choice,https://www.tubal-reversal.net,Consumer services,Tubal ligation reversal medical facility,Specialized medical procedure provider,Patients,Unknown,"Procedure revenue likely episodic, not recurring",Medical service but elective/specialty; verify referral dependence,Unknown,Pacific Lake long-term hold; active; 2025 investment,Specialized healthcare services pattern; likely less aligned due to consumer elective/non-recurring demand,"Check referral channels, margins, patient acquisition costs, and procedure repeatability",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,FluidSecure,https://www.fluidsecure.com,Software,Fuel and fluid management technology,Industrial/operational software and hardware-enabled platform,Fleet and fuel/fluid operators,Unknown,Management platform likely recurring SaaS/service fees; verify,Fuel/fluid control can be operationally critical for fleets and facilities,Unknown,Pacific Lake long-term hold; active; 2025 investment,"Strong G&B pattern: boring operational infrastructure, usage control, possible recurring software revenue","Validate customer segments, hardware/service mix, churn, and compliance drivers",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,FreeBalance,https://www.freebalance.com,Professional services / government technology,Public financial management software and advisory,Government software plus advisory services,Government agencies,Global/Unknown,Government software likely contract recurring; advisory may be project-based,Public financial management is mission-critical,Government technology markets may be fragmented by jurisdiction; verify,Pacific Lake long-term hold; active; 2025 investment,"Attractive mission-critical software/services pattern, but government procurement cycles may be a fit constraint","Review revenue mix, retention, procurement complexity, implementation services, and geography",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Sector 7 Energy,https://www.sector7energy.com,Professional services,Energy consulting,Consulting services,Commercial/industrial energy customers,Unknown,Consulting may be project-based; verify managed-service or recurring monitoring components,Energy cost/compliance work can be important but criticality depends on service line,Unknown,Pacific Lake long-term hold; active; 2025 investment,Potential energy-services niche signal; needs caution if revenue is advisory/project-heavy,"Check customer type, contract repeatability, regulatory drivers, and EBITDA profile",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,CyberData Pros,https://www.cyberdatapros.com,Professional services,Cybersecurity data privacy and security consulting,Compliance/security consulting,Businesses,Unknown,Privacy/security programs may create repeat assessments and retained services; verify,Cybersecurity and privacy are compliance-critical,Cyber/privacy services market fragmented; verify local/niche specialization,Pacific Lake long-term hold; active; 2025 investment,Strong signal for compliance-driven B2B services with recurring advisory potential,"Verify managed services vs consulting, client retention, vertical specialization, and regulatory exposure",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,O&W Heat Treat,https://www.owheattreat.com,B2B services,Specialized heat treating and brazing,Industrial processing services,Manufacturers,Unknown,Repeat production/customer programs possible; verify,Heat treating can be mission-critical in manufacturing supply chains,Specialized industrial service providers may be fragmented regionally,Pacific Lake long-term hold; active; 2025 investment,Very strong boring B2B industrial services signal; likely worth pattern review,"Study end markets, certifications, customer concentration, capacity utilization, and regional fragmentation",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,ADAS Safe,https://www.adas-safe.com,Consumer services / automotive,ADAS calibration and recalibration,Automotive service center,Auto repair/body shops and vehicle owners,Unknown,Recalibration demand repeats with repairs; verify B2B referral/channel mix,Safety-critical calibration after repairs is mission-critical,ADAS calibration market likely fragmented; verify,Pacific Lake long-term hold; active; 2025 investment,Attractive if B2B collision-shop channel and recurring referral network dominate; consumer label needs diligence,"Clarify customer mix, insurance/body-shop relationships, equipment intensity, and market fragmentation",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,ASI Group,https://www.asi-group.com,B2B services,Underwater inspection repair and maintenance,Specialized infrastructure services,Infrastructure/marine/industrial customers,Unknown,Inspection and maintenance cycles suggest repeat work; verify contract structure,Inspection/repair/maintenance of underwater assets is mission-critical,Specialized regional providers may be fragmented; verify,Pacific Lake long-term hold; active; 2025 investment,Strong G&B-fit pattern: technical B2B infrastructure services with recurring maintenance demand,"Research asset types, regulatory inspection cycles, customer concentration, safety certifications, and geographic fragmentation",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Wayleadr,https://www.wayleadr.com,B2B services / software,Smart parking and arrival management platform,Workplace mobility/parking software,Enterprises/property operators,Unknown,Platform suggests SaaS or subscription revenue; verify,Parking/arrival workflow important but criticality may be moderate,Unknown,Pacific Lake long-term hold; active; 2025 investment,"Potential vertical workflow software, but workplace real estate exposure needs review","Validate buyer, churn, deployment depth, and office utilization sensitivity",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Gendler Dermatology,https://www.gendlerdermatology.com,Consumer services / healthcare,Cosmetic and medical dermatology,Specialty medical practice,Patients,Unknown,Patient repeat visits possible but mix may be elective; verify,Medical dermatology can be important; cosmetic services less mission-critical,Dermatology practices are fragmented; verify consolidation dynamics,Pacific Lake long-term hold; active; 2025 investment,Healthcare services roll-up signal but likely outside core if consumer/elective heavy,"Check medical vs cosmetic mix, referral channels, recurring treatment cadence, and provider dependence",High,seed
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,WonderPlay Brands,https://www.wonderplaybrands.com,Consumer services,Art and science experiences for children and adults,Experiential education/entertainment,Families/children/adults,Unknown,Class/membership repeat possible; verify,Low to moderate criticality,Local experiential services may be fragmented; verify,Pacific Lake long-term hold; active; 2025 investment,Pattern worth preserving but likely lower G&B fit due to consumer/discretionary exposure,"Verify revenue mix, membership model, seasonality, and location economics",High,seed
BK Growth,https://www.bkgrowth.com/portfolio,4EverYoung,https://4everyoungantiaging.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Advanced Aircrew Academy,https://www.aircrewacademy.com,Aviation training,Aircrew training,Training/eLearning,Aircraft operators/flight departments,Unknown,Training likely repeat/compliance-driven; verify,Aviation training can be safety/compliance-critical,Specialized training providers may be fragmented,BK Growth portfolio logo/link from approved page HTML,Strong compliance/safety training signal; possible niche-intelligence candidate after enrichment,"Review training cadence, regulations, customer type, revenue model, and EBITDA profile",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Allied Electric,https://alliedelectricinc.com,B2B services / trades,Electrical services,Trade services,Commercial/industrial/residential unknown,Unknown,Repeat service/maintenance possible; verify,Electrical work can be mission-critical,Electrical contractors are fragmented regionally,BK Growth portfolio logo/link from approved page HTML,Boring services fit possible; needs customer mix to avoid residential/project-heavy exposure,"Verify customer type, maintenance vs project mix, geography, scale, and licensing",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Anterra Tech,https://anterratech.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Apex Fundraiser,https://apexleadershipco.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,ArborOne,,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Ascend,https://www.ascendsoftware.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Atlantic Duct Cleaning,https://www.atlanticductcleaning.com,B2B services / facilities,Duct cleaning,Facilities maintenance services,Commercial/residential unknown,Unknown,Maintenance cycles can repeat; verify contract mix,Indoor air quality/HVAC cleaning can be important but criticality varies,Local service market likely fragmented,BK Growth portfolio logo/link from approved page HTML,Potential recurring facilities-services pattern if commercial contracts dominate,"Check commercial mix, recurrence, route density, and customer concentration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Auronix,https://www.auronix.mx/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Avesta,https://www.avestaketaminewellness.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Axero,https://axerosolutions.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Beartown Holdings,https://www.smtrs.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Beecker,https://www.beeckerco.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Canyonlands Camps,https://www.canyonlandsfund.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Central Storage & Warehouse,https://www.csw-wi.com,B2B services / logistics,Temperature-controlled warehousing,Warehouse services,Food/industrial customers likely,Wisconsin/Unknown,Storage contracts likely recurring,Cold storage can be mission-critical to customer supply chains,Cold storage market has regional fragmentation; verify,BK Growth portfolio logo/link from approved page HTML,Strong G&B pattern: boring B2B critical infrastructure with recurring storage revenue,"Research customer concentration, facility utilization, capex intensity, and contract duration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,Chesapeake Technology,https://chesapeaketech.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Clariti,https://www.claritisoftware.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Climate Earth,https://climateearth.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Comprehensive Mobile Care,https://www.compmobilecare.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Concierge Plus,https://conciergeplus.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Crystal Practice Management,https://www.crystalpm.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,DaVinci,https://wdgcorp.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,ECP,https://www.ecp123.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,ELK Analytics,https://elkanalytics.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Energy Ogre,https://www.energyogre.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Ennoble Care,https://www.ennoblecare.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,ETU,https://www.etu.co/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Eventus,https://eventussecurity.com,Cybersecurity,Managed security / cybersecurity services,Security services,Businesses,Unknown,Managed security may be recurring; verify,Cybersecurity is mission-critical/compliance-driven,Cybersecurity services market fragmented by segment,BK Growth portfolio logo/link from approved page HTML,Strong recurring mission-critical B2B services candidate,"Verify MSSP vs project mix, retention, verticals, and customer concentration",Medium,seed
BK Growth,https://www.bkgrowth.com/portfolio,ExpensePoint,https://www.expensepoint.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
BK Growth,https://www.bkgrowth.com/portfolio,Facial Aesthetics,https://facialaestheticsinc.com/,Unknown from approved source,Portfolio gallery,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Portfolio gallery; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",High,source_complete_unfiltered
