tab,attio_company_id,firm_name,website,hq_city,hq_state,categories,description_short,lead_contact_name,lead_contact_title,lead_contact_email,last_interaction,connection_strength,in_existing_82_list,notes
IBs,80e940db-86e7-420f-a73a-447776a1749a,Graphic Arts Advisors,graphicartsadvisors.com,Mountain Lakes,New Jersey,B2B; Investment Banking,,,,,,,Y,In Outreach: Intermediary Pipeline (Identified)
IBs,8db173b6-e812-47a4-86a3-66fbf350b5a8,PEI,pei.group,New York,New York,B2C; Finance; Information Technology & Services; Investment Banking,"PEI GROUP is a business intelligence provider that focuses on delivering insights and connections for investment professionals in specialized global markets, identifying high growth sectors and themes",,,,,,N,
IBs,8f0eae7c-38f5-4bf3-9a9c-6e34eb275f9b,Benchmark International,bmitransactionus.com,Tampa,Florida,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking,"Benchmark International works exclusively as a sell side M&A firm for middle market companies. Our clients are seeking full exits while others are seeking equity partners or elevator deals. However, t",,,,,,Y,
IBs,934a38ed-209a-4da9-9b79-a10cd79198b1,Baird,rwbaird.com,Milwaukee,Wisconsin,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Investment Banking; SAAS,"Baird is an employee-owned financial services firm providing wealth management, capital markets, asset management, private equity, and investment banking services to individual, corporate, institution",,,,,,N,
IBs,934d8017-efca-4b8f-baf6-df25174abf5a,Harbor Street Capital,harborstreetcapital.com,,,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; Investment; Investment Banking; Investment Management,"Harbor Street Capital acquires established businesses from passionate founders to ignite growth, preserve legacies, and ensure smooth transitions. Their team, comprised of entrepreneurs and builders, ",,,,,,N,
IBs,94a6d44e-6809-4095-b004-f9b6ac1c10d2,Alumni Ventures,av-funds.com,Menlo Park,California,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Investment; Investment Banking; Investment Management; Marketplace; Venture Capital,"Bitly is a link management platform. You bring us your digital content, we make it connect and ignite with your audience. \nNeed support? https://t.co/x1VHcCuqEC",,,,,,N,
IBs,95912958-3841-4b65-a113-1f3b6f071366,Sell Your Business Better With IAG M&A Advisors,iagmerger.com,Addison,Texas,B2B; B2C; Finance; Insurance; Investment Banking,"Sell Your Business Better With IAG M&A Advisors provides expert mergers and acquisitions advisory services to low to middle market business owners, guiding them through the selling process to achieve ",,,,,,N,In Outreach: Intermediary Pipeline (Daily Check in on Matches)
IBs,9e8a89ee-1254-4b3f-a420-07c631b1d82d,Everingham & Kerr,everkerr.com,Mount Laurel,New Jersey,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking; Investment Management,Everingham & Kerr is a merger and acquisition advisory firm that specializes in providing intermediary services tailored for lower middle market companies and entrepreneurs.,,,,,,N,In Outreach: Intermediary Pipeline (Actively Receiving Deal Flow)
IBs,9ef13bf9-1081-4cd1-8719-c18c98551c92,Benchmark International,benchmark-international.ie,Marina del Rey,California,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; Investment Banking; Investment Management,"Benchmark International specializes in providing expert guidance to business owners on growth strategies, exit planning, and personal wealth diversification within the mergers and acquisitions sector.",,,,,,Y,
IBs,c0ba96ca-c43d-4221-8477-b6510934d5e1,Estelio Partners,esteliopartners.com,Palo Alto,California,B2B; B2C; Consulting & Professional Services; Enterprise; Finance; Financial Services; Insurance; Investment; Investment Banking,"Estelio Partners is a partnership focused on acquiring and managing a single, high-quality business, with a commitment to preserving the seller's legacy while creating long-term value for employees, c",,,,,,N,
IBs,defe3adc-1f1c-44b4-a5ed-708c1d7c5261,CIBC,mail.us.cibc.com,Toronto,Ontario,B2B; B2C; Banking & Mortgages; Consulting & Professional Services; E-commerce; Finance; Financial Services; Insurance; Investment Banking,"CIBC offers a comprehensive range of personal banking and financial services, including innovative products and straightforward advice, tailored to meet the unique needs of individual and business cli",,,,,,N,
IBs,e6468543-f93f-4f49-898e-196a623eed72,Benchmark International,benchmarkintltexas.com,Tampa,Florida,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking,"Benchmark International works exclusively as a sell side M&A firm for middle market companies. Our clients are seeking full exits while others are seeking equity partners or elevator deals. However, t",,,,,,Y,
IBs,e875a51a-ef74-49c8-9ec0-8edd87bad656,PEI,peimedia.com,New York,New York,B2C; Finance; Information Technology & Services; Investment Banking,"PEI GROUP is a business intelligence provider that focuses on delivering insights and connections for investment professionals in specialized global markets, identifying high growth sectors and themes",,,,,,N,
Brokers,fa102f5f-d2f3-4b5c-888d-e7e3eb5866dc,Gottesman,gottesman-company.com,New York,New York,B2B; B2C; Consulting & Professional Services; Finance; Insurance; Investment Banking; Marketplace,Gottesman Company is a global mergers and acquisitions firm with a local presence. Our Business Brokers specialize in matching business buyers and sellers.,,,,,,Y,In Outreach: Intermediary Pipeline (Identified)
Brokers,0f035c71-fa3c-403f-b42d-af9c9fce2db5,Chartwell Insurance Services,chartwellins.com,Chicago,Illinois,B2B; B2C; Consulting & Professional Services; Consumer Discretionary; Consumer Goods; Finance; Financial Services; Insurance; Marketplace,"Chartwell Insurance Services specializes in providing comprehensive personal property and liability insurance solutions, along with risk management and consultative services tailored for high net wort",,,,,,N,
CPAs,17c7ec31-6492-42bf-b2c9-3d7df96cbab4,CFO Consulting Partners,cfoconsultingpartners.com,Princeton,New Jersey,Accounting; B2B; B2C; Consulting & Professional Services; Enterprise; Financial Services; Insurance; Real Estate; SAAS; Technology,"CFO Consulting Partners is a consulting firm of C-level financial executives offering a suite of financial management services to small and mid-sized companies, empowering confident decision-making an",,,,,,N,
Brokers,1e456881-4cb0-472d-a208-9e9e2a57430f,Everstone Succession Partners,everstonesuccession.com,,,B2C; Consulting & Professional Services; Financial Services; Investment; Venture Capital,"Everstone Succession Partners specializes in facilitating the transition of business ownership for retiring entrepreneurs by ensuring the preservation of their legacy, team, and culture while focusing",,,,2025-10-21,,N,
Brokers,236e1e90-91d3-4811-8590-2239e2666c10,Presidio Park Group,presidioparkgroup.com,Chicago,Illinois,Consulting & Professional Services; Financial Services; Investment; Venture Capital,"Presidio Park Group is a team of entrepreneurs and builders who specialize in partnering with small business owners to provide founder-first support. With a focus on long-term relationships, they have",,,,,,N,
Brokers,295fa148-b8b2-4bc0-a027-919411af4d06,ALP,alliedlegacypartners.com,Houston,Texas,B2C; Consulting & Professional Services; Financial Services; Investment Management; Legal Services,"ALP is a company dedicated to acquiring, running, and growing businesses with a focus on long-term growth and prosperity. The company's name, Allied Legacy Partners, reflects the resilience and aspira",,,,,,N,
CPAs,2ad3d630-44c2-4659-832d-f97ab7097483,Tax Alchemy,taxalchemy.com,Chicago,Illinois,Accounting; Consulting & Professional Services; Financial Services,Tax Alchemy specializes in educating business owners and real estate investors on effective tax strategies to minimize their tax liabilities through comprehensive planning and expertise in tax laws.,,,,2026-04-28,,N,
Brokers,35adff78-0641-4a1b-a185-838ce1044d8d,Viking Mergers & Acquisitions,vikingmergers.com,Charleston,South Carolina,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; Marketplace,"Viking Mergers & Acquisitions was established with the vision of providing customized exit strategies and M&A mitigation to middle market business owners. Since their inception, Viking Mergers & Acqui",,,,,,Y,In Outreach: Intermediary Pipeline (Quarterly Check In)
Brokers,87c32109-4755-4d31-aa8a-a9180d60bc51,DealsX,dealsx.io,Los Angeles,California,B2C; Consulting & Professional Services; Financial Services; Investment; Market Research; Venture Capital,"DealsX specializes in utilizing artificial intelligence to enhance the sourcing of mergers and acquisitions, aiming to identify and secure high-quality business opportunities in a competitive market.",,,,,,N,
Brokers,0b8ea745-e838-4db9-a60c-dfedb9e7581a,sfmail.corpnet.com,sfmail.corpnet.com,Thousand Oaks,California,B2B; Business Supplies; Consulting & Professional Services; Information Technology & Services; Legal Services; SAAS; Technology,"CorpNet is a trusted resource for entity formations, compliance filings, and tax and payroll registration in all 50 states. They offer services such as incorporating a business, forming an LLC, filing",,,,,,N,
Lawyers,20060c76-56cb-47df-9e0c-124b46e8d2b8,Abrams,agfjlaw.com,New York,New York,B2B; Consulting & Professional Services; Corporate & Business; Insurance; Legal Services,"Abrams, Gorelick, Friedman & Jacobson, LLP is a leading law firm founded by Michael E. Gorelick, Glenn A. Jacobson, and the late Daniel J. Friedman. Specializing in insurance litigation, trials, and a",,,,,,N,
Lawyers,2a544bbf-c643-441d-925d-298d31ba7059,Goodwin,goodwinlaw.com,Boston,Massachusetts,B2B; B2C; Consulting & Professional Services; Enterprise; Legal Services; Real Estate,"Goodwin is a global law firm with over 1,800 lawyers across the United States, Europe, and Asia. They specialize in complex transactions, high stakes litigations, and advisory services in the technolo",,,,,,N,
Lawyers,33aea424-e45b-4302-a035-b31c914cc6b6,WealthCounsel,wealthcounsel.com,Jersey City,New Jersey,B2B; B2C; Consulting & Professional Services; Legal Services; Publishing; SAAS,"WealthCounsel provides estate and business planning attorneys with comprehensive software solutions, continuing legal education, and resources designed to enhance their practice efficiency and client ",,,,,,N,
Lawyers,7c990332-c785-4e07-97e8-21e2197bfd4a,Paragon Legal,paragonlegal.com,San Francisco,California,B2B; Consulting & Professional Services; Legal Services; Marketplace; SAAS,"Paragon Legal provides in-house counsel on demand, offering flexible and cost-effective legal talent solutions without the need for an outside law firm or permanent hire. Their highly qualified legal ",,,,,,N,
Lawyers,828865be-9597-4a84-83b7-f10410b155f1,Proskauer Rose LLP,proskauer.com,New York,New York,B2B; Consulting & Professional Services; Enterprise; Legal Services; Real Estate,,,,,,,N,
Brokers,adab1d0d-3751-470d-9da2-717322c290ee,"Bridgeford Advisors,",bridgefordadvisors.com,Newport Beach,California,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; Legal Services,"Bridgeford Advisors, Inc. is a trust and wealth planning advisory firm that delivers direction and control to settlors, beneficiaries of trusts, and their advisors through its sister company, Bridgefo",,,,2025-10-30,Very weak,N,
Brokers,ae9531ed-1be2-43a5-8ef5-06239e35137c,Canelo Partners,canelopartners.com,,,B2B; Consulting & Professional Services; Legal Services,Canelo Partners is an entrepreneur-led team of experienced operators and investors dedicated to acquiring and growing a single business for the long term. They focus on acquiring majority interests in,,,,2025-10-21,,N,
Lawyers,ebecab86-fdfb-4eef-aa77-e422f82f3148,Choate Hall & Stewart,choate.com,Boston,Massachusetts,B2B; Consulting & Professional Services; Enterprise; Finance; Legal Services,"Choate Hall & Stewart is a premier law firm based in Boston, offering top-tier legal services in various practice areas such as private equity, mergers & acquisitions, technology, intellectual propert",,,,,,N,
Lawyers,f11429e6-8b45-4e04-9580-4914391b6d87,Bellizio + Igel Pllc,bilawfirm.com,New York,New York,B2B; Consulting & Professional Services; Corporate & Business; Legal Services; Marketplace,"Bellizio & Igel, PLLC is a New York City law firm that provides legal counsel to entrepreneurs and businesses in industries including technology, media, entertainment, fashion, beauty, and the arts. T",,,,,,N,In Outreach: Intermediary Pipeline (Contacted)
CPAs,3b918827-7647-4d50-93c4-d2681fb1bcb7,Richards Vissicchio Douglass CPAs,rvdcpa.com,Jericho,New York,Accounting; B2B; B2C,"Richards Vissicchio Douglass CPAs PLLC is a full-service tax, accounting, and business consulting firm based in Jericho, NY. As a licensed CPA firm in NY, we provide a wide range of services tailored ",,,,2026-01-13,,N,In Outreach: Intermediary Pipeline (Actively Receiving Deal Flow)
CPAs,4420c267-51d0-4307-b0e2-8f29d663405c,Bill.com,inform.bill.com,San Jose,California,Accounting; Automation; B2B; Enterprise; Finance; Information Technology & Services; Insurance; Payments; SAAS; Technology,"Bill.com is a financial operations platform automating AP, AR, and expenses for businesses, connecting finance and accounting programs, banks, and vendors.",,,,,,N,
CPAs,61f46288-5cda-4889-87b5-26c0db8d25bc,SafeSend,safesendreturns.com,Sacramento,California,Accounting; B2B; B2C; Consulting & Professional Services; E-commerce; Information Technology & Services; SAAS; Technology,"SafeSend is a leading provider of tax and accounting automation solutions, offering a suite of tools to streamline the tax engagement process for both staff and clients. Their innovative technologies ",,,,,,N,
CPAs,689b0769-a6d3-4a7e-969a-75d7383690de,OneGuide,askoneguide.com,Denver,Colorado,Accounting; B2B; B2C; Consulting & Professional Services; E-commerce; Information Technology & Services; Payments; SAAS; Technology,OneGuide is a portfolio ops platform that streamlines event coordination for PE and VC teams. It also connects B2B software companies with go-to-market advisors through written guides and expert consu,,,,,,N,
CPAs,71b729f0-840d-4df3-bb47-1d3836b995c4,Deloitte,connect.deloitte.lu,Luxembourg,District de Luxembourg,Accounting; B2B; Consulting & Professional Services; Enterprise; Telecommunications,"Deloitte offers comprehensive audit, consulting, tax, and advisory services to a diverse range of clients, including a significant portion of the Fortune 500, helping them navigate change and capitali",,,,,,N,
CPAs,81acdeed-85a6-409a-9cd7-bd9053b57ca8,Deloitte,deloitte.lu,Luxembourg,District de Luxembourg,Accounting; B2B; Consulting & Professional Services; Enterprise; Telecommunications,"Deloitte offers comprehensive audit, consulting, tax, and advisory services to a diverse range of clients, including a significant portion of the Fortune 500, helping them navigate change and capitali",,,,,,N,
CPAs,8d0407f0-76d1-42e0-88ba-5299b2935ecb,Suralink,suralink.com,Salt Lake City,Utah,Accounting; B2B; Enterprise; Information Technology & Services; Publishing; SAAS; Technology,"Suralink is the leader in PBC request list management software, providing audit, tax, and advisory teams with tools to streamline document collection, increase efficiency, and enhance client experienc",,,,,,N,
CPAs,92a33187-b3d8-48c7-bd84-a20c849a4b8b,Better Bookkeeping,mail.betterbookkeeping.com,,,Accounting; B2C; Consulting & Professional Services; Financial Services,"Better Bookkeeping provides small business and solopreneurs with simple and efficient bookkeeping services. They offer end-to-end tax and financial services, including expense classifications, tax fil",,,,2026-03-31,,N,
CPAs,94986005-8480-4c0c-9cdf-0993824c8116,Baldridge Financial,baldridgecpa.com,Houston,Texas,Accounting; B2B; B2C; Consulting & Professional Services; Financial Services; Investment Management,Baldridge Financial Services is a full-service financial planning and tax firm that specializes in assisting small and midsize business owners with significant wealth by providing tailored solutions i,,,,,,N,
CPAs,b02a42c0-3eb9-41bc-8783-c14ec625d5fb,Bill.com,hq.bill.com,San Jose,California,Accounting; Automation; B2B; Enterprise; Finance; Information Technology & Services; Insurance; Payments; SAAS; Technology,"Bill.com is a financial operations platform automating AP, AR, and expenses for businesses, connecting finance and accounting programs, banks, and vendors.",,,,,,N,
CPAs,d0e22289-8f03-4083-9f43-507620c6c9dc,BDG-CPAs,bdgcpa.com,Ridgewood,New Jersey,Accounting; B2B; B2C; Consulting & Professional Services,"BDG CPAs: Established in 1982, offering top-notch tax, audit, and advisory services comparable to Big 4 firms. Specializing in long-term client relationships and expertise in internal controls and tax",,,,2025-11-26,Very weak,N,
CPAs,e11ad129-5f28-4755-a10e-44f3c843debb,Wolters Kluwer,wolterskluwer.com,Alphen aan den Rijn,Zuid-Holland,Accounting; B2B; Consulting & Professional Services; Enterprise; Financial Services; Information Technology & Services; Publishing; SAAS; Services,"Wolters Kluwer provides a comprehensive range of professional information, software solutions, and services designed to empower experts in healthcare, tax, accounting, finance, and legal sectors, faci",,,,,,N,
Brokers,01cbb6fb-7c47-4b5f-a575-89cc411f52a8,ProNova Partners,pronovapartners.com,,California,B2B; B2C; Consulting & Professional Services; Finance; Insurance; Internet; Marketplace; Technology,"ProNova Partners specializes in facilitating the buying and selling of businesses across various industries, providing expert guidance and support to clients throughout the entire transaction process.",,,,,,Y,In Outreach: Intermediary Pipeline (Identified)
Brokers,02401582-0071-4e0c-a463-c80ded4848d1,Belen Partners,belen-partners.com,,,B2C; Consulting & Professional Services,"Belen Partners is a company founded on the principles of resilience, vision, and dedication, inspired by the entrepreneurial journey of the founder's immigrant parents. Specializing in business acquis",,,,2026-04-22,,N,
Brokers,0aa44ebd-6168-46b4-87e5-fd4f1696e983,Pine Harbor Search,pineharborsearch.com,Washington,District of Columbia,Consulting & Professional Services; Military,"Pine Harbor Search, founded by Navy veteran Carter Eltzroth, specializes in acquiring businesses for long-term success. With a background in leadership and accountability from his service in the U.S. ",,,,2025-10-21,,N,
Brokers,1254349b-3e8e-4266-beca-98d2c8301df5,LG Planning Group,lgplanninggroup.com,Melville,New York,B2B; B2C; Consulting & Professional Services; Enterprise; Finance; Insurance,"LG Planning Group specializes in providing comprehensive employee benefits, risk management, and financial planning solutions tailored to meet the unique needs of both individuals and businesses.",,,,,,N,
Brokers,185e73bd-b60e-4c5d-99bc-d852713abbd1,S&C Advisory,spark-code.com,,,Consulting & Professional Services; Design; Technology,S&C Advisory provides fractional executive partnerships by offering product and design leaders who collaborate with client executives and cross-functional teams to ensure cohesive strategy and executi,,,,2026-01-28,,N,
Brokers,19002947-26d3-4157-aa91-c2d6ce27ba61,Carmine Partners,carminepartners.com,,,B2C; Business Supplies; Consulting & Professional Services; Corporate & Business; Investment; Investment Management; Venture Capital,"Carmine Partners is a fund designed to support small business owners by providing resources and guidance to enhance their vision, explore new opportunities, and maintain their legacy.",,,,,,N,
Brokers,1f3d7760-bafa-4f9e-996e-448dbff55ae9,G&B,greenwichandbarrow.com,,,Business Supplies; Consulting & Professional Services; Corporate & Business,G&B specializes in guiding businesses through transitions by preserving their legacy and reputation while fostering growth and maximizing value in a respectful manner.,,,,,,N,
Brokers,20605bca-684f-4d6f-87f9-dfb1ab3348b5,Ionian Partners,ionianpinepartners.com,,,Consulting & Professional Services,"Ionian Partners specializes in partnering with entrepreneurs to develop and implement growth strategies for exceptional businesses, focusing on a personalized approach that minimizes disruption during",,,,2025-05-20,,N,
Brokers,272c5859-28e3-4201-8430-e8fbcf397cf1,Permanent Equity,permanentequity.com,Columbia,Missouri,B2B; Consulting & Professional Services; Marketplace; Transportation; Venture Capital,Permanent Equity is an investment firm that focuses on stewarding family-owned companies in North America. They invest in growing businesses with $1-15 million in net profits and 15%+ annual growth ra,,,,,,N,
Brokers,2d4d09c9-3faa-4f14-ad1e-81afad2d1e0a,ANECOM Inc,anecom.com,Kernersville,North Carolina,B2B; B2C; Consulting & Professional Services; E-commerce; Enterprise; Information Technology & Services; SAAS; Technology,"ANECOM provides a comprehensive solution for Art logistics, Storage and Collection management business functions while enabling the industry with the latest technologies.",,,,,,N,
Brokers,2facff28-8857-4fbd-88a0-c51d16f6949b,StartVirtual,send.startvirtual.com,Phoenix,Arizona,B2B; Consulting & Professional Services; Enterprise; Marketplace; Outsourcing,"StartVirtual is a premier virtual assistant company that provides elite offshore virtual assistant talent to help businesses achieve their goals. With a focus on quality over quantity, StartVirtual of",,,,,,N,
Brokers,325d3ec4-e109-446f-bc94-244fd124a94e,Experience.com,experience.com,Boston,Massachusetts,Automation; B2B; Consulting & Professional Services; Enterprise; Information Technology & Services; Real Estate; SAAS; Technology,"Experience.com is a career network and Experience Management Platform that connects individuals with professionals and helps businesses boost reviews, enhance listings, and drive growth with AI techno",,,,,,N,
Brokers,35cdc2d4-d41c-4b8e-b600-2d36c7a75e09,Sabi Partners,sabipartners.com,Dallas,Texas,B2B; Business Supplies; Consulting & Professional Services; Corporate & Business; Market Research; Telecommunications,Sabi Partners: A Dallas-based consulting firm offering strategic advisory services for business growth and innovation.,,,,,,N,
Brokers,39dc73b1-1db3-4d10-8924-aa3bc6293db1,Meadow Equity Partners,meadowequity.com,,,Consulting & Professional Services; Investment; Venture Capital,"Meadow Equity Partners focuses on acquiring majority interests in established, cash-flowing business services firms, prioritizing long-term growth and stability while preserving the existing culture a",,,,2025-10-21,,N,
IBs,44c706f6-6dab-48cd-b6fe-383583e251e4,Live Oak Bank,liveoakbank.com,,,,"Live Oak Bank is a digital, cloud-based bank specializing in financing for independent businesspeople in niche industries across the country. They offer FDIC insured banking products, high yield savin",,,,,,N,
Brokers,997e2224-8729-42e6-9045-294c59e1e585,Anacapa Partners,anacapapartners.com,,,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment; Investment Management; Venture Capital,"Anacapa Partners provides capital and strategic support to entrepreneurs, enabling them to navigate their business challenges with confidence while focusing on delivering diversification and superior ",,,,,,N,
Brokers,a0b1dda5-4ac6-4fda-a1b2-6218780f931d,Curo Ventures,curoventures.us,,,B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment; Venture Capital,"Curo Ventures is a company that buys and invests in businesses, focusing on caring for and nurturing them as if they were its own creations. The name 'Curo' reflects the company's commitment to preser",,,,,,N,
Brokers,a0bef9dd-3394-4f90-97c7-de09dd26d48b,Yellowbridge Partners,yellowbridgepartners.com,,,B2B; B2C; Business Supplies; Consulting & Professional Services; Human Resources,"Yellowbridge Partners focuses on acquiring and enhancing businesses that contribute to the advancement of workforce training, development, management, and compliance, offering a unique alternative to ",,,,,,N,
Brokers,a40faef6-e3ba-4fc6-9af8-1f32c8042f14,SMB Deal Hunter,mail.smbdealhunter.xyz,,,B2B; B2C; Consulting & Professional Services; Finance; Investment,"SMB Deal Hunter offers curated resources and free breakdowns of top SMB deals, enabling entrepreneurs and investors to access cash-flowing small business acquisition opportunities.",,,,2026-04-29,,N,
Assn Heads,a82fff80-dd9b-430c-806b-a200bf906e02,Private Risk Management Association,privateriskmanagement.org,,New York,B2B; Consulting & Professional Services; Enterprise; Insurance,The Private Risk Management Association (PRMA) is a member-owned independent nonprofit association that is the recognized forum and voice of the high net worth private risk and insurance management ni,,,,2025-10-27,Very weak,N,
Brokers,a95f9cf0-c7e4-463e-83d3-cc3d1acb4ae1,JLL,jll.com,Chicago,Illinois,B2B; B2C; Consulting & Professional Services; E-commerce; Marketplace; Real Estate,"JLL specializes in providing comprehensive commercial real estate services and investment management solutions, assisting owners, tenants, and investors in navigating local, national, and global marke",,,,,,N,
Brokers,a96a434c-672b-422b-9fd7-403140464195,Heritage Holding,heritage-holding.com,Boston,Massachusetts,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance,"Heritage Holding is an operator-led private investment firm based in Boston, specializing in investing entrepreneurial capital in small US businesses. Founded in 2015 by Ross Porter and Alex de Pfyffe",,,,,,N,
Brokers,aa64dccc-93e7-4631-a2cd-87b274ca163e,Gusto,info.gusto.com,San Francisco,California,B2B; Consulting & Professional Services; Financial Services; Information Technology & Services; SAAS; Technology,"Gusto is a modern, online people platform that helps small businesses take care of their teams. They offer full-service payroll, health insurance, 401(k)s, expert HR, and team management tools. With a",,,,,,N,
Brokers,b3ea9649-4bfa-4b9c-8a44-2f0adf9aa17a,Roland Hall Partners,rolandhallpartners.com,,,Business Supplies; Consulting & Professional Services; Investment; Investment Management; Venture Capital,"Roland Hall Partners is a search fund led by two motivated entrepreneurs with shared military and operating experience. Our mission is to find, acquire, and lead one great business into the next stage",,,,,,N,
Brokers,b56183f1-ff0e-481e-9872-0923cf6bf5b1,Olympia,olympiacp.com,Santa Monica,California,B2C; Consulting & Professional Services; Finance; Insurance; Investment; Venture Capital,"Olympia, founded by Abhi and Yosselin, is a company dedicated to acquiring and managing businesses. With a wealth of business experience and a commitment to preserving legacies, Olympia aims to grow a",,,,,,N,
Brokers,b79a2475-f135-4dfd-866d-595836adcdf6,Chase,chase.com,New York,New York,B2B; B2C; Banking & Mortgages; Consulting & Professional Services; Enterprise; Finance; Financial Services,"Chase is a leading U.S. financial services provider offering credit cards, mortgages, and banking solutions to millions of consumers and small businesses.",,,,,,N,
